id,Latitude,Longitude,Company,City,Country,MC
1,47.199999,8.766664,BRD,Pfäffikon,Switzerland,8138660
2,22.279909,114.173729,BitMex,Hong Kong,China,44000000
3,34.208254,-118.605861,Netki,Canoga Park,USA,320000
4,33.980289,-118.451745,Spring Labs,Marina del Rey,USA,7200000
5,37.7918,-122.3988,Coinbase,San Francisco,USA,1140000000
6,39.751265,-104.989813,SALT Lending,Denver,USA,28000000
7,34.153278,-118.465898,Mythical Games,Sherman Oaks,USA,20000000
8,40.749501,-73.975945,Gemini,New York,USA,58800000
9,42.354593,-71.054652,Circle,Boston,USA,54300000
10,51.515098,-0.082355,Celsius Network,London,UK,20300000
11,34.019152,-118.497767,OPSkins,Santa Monica,USA,11000000
12,40.705628,-73.93354,ConsenSys,Brooklyn,USA,60000000
13,41.888593,-87.635407,Bloq,Chicago,USA,4900000
14,37.792265,-122.402881,Ripple,San Francisco,USA,71800000
15,37.431743,-122.103703,TraDove,Palo Alto,USA,8500000
16,37.45468,-122.16498,Robinhood,Melno Park,USA,420000000
17,37.445894,-122.158606,doc.ai,Palo Alto,USA,18100000
18,40.704253,-74.011156,Learning Machine,New York,USA,241000
19,37.773803,-122.411016,TrustToken,San Francisco,USA,5500000
20,37.868886,-122.27014,Oasis Labs,Berkeley,USA,5100000
21,37.787236,-122.399221,Chronicled,San Francisco,USA,6400000
22,40.719946,-74.000221,Lemonade,New York,USA,94000000
23,37.77985,-122.401808,High Fidelity,San Francisco,USA,9700000
24,37.787898,-122.400007,Ankr Network,San Francisco,USA,1000000
25,41.108276,-73.7201,IBM,Armonk,USA,73600000000
26,42.348071,-71.117341,Voatz,Brookline,USA,4700000
27,40.743531,-73.992954,Blockstack,New York,USA,664200
28,30.268853,-97.743171,Steem,Austin,USA,23700000
29,39.031157,-77.13891,Lockheed Martin,Betheda,USA,65400000
30,42.316546,-83.210282,Ford,Dearbord,USA,1.271E+11
31,41.962496,-87.674699,Omega Grid,Chicago,USA,1000000
32,39.722000,-104.974445,Tokken,Denver,USA,6500000
33,37.435853,-122.133464,Filecoin,Palo Alto,USA,74000000
34,40.715021,-73.933960,Mediachain,Brooklyn,USA,8500000
35,43.160980,-77.619648,Kodak,Rochester,NY,
36,47.668917,-122.118257,Microsoft,Redmond,WA,
37,40.618922,-111.914907,Overstock.com,Midvale,UT,
38,35.665041,139.739427,SBI Holdings,Tokyo,Japan,
39,37.529898,-122.265832,Oracle,Redwood City,USA,
40,37.386346,-121.963733,Intel,Santa Clara,USA,
41,50.827116,4.312220,AB Inbev,Bruxelles,Belgium,
42,48.787561,9.236994,Daimler AG,Stuttgart,Germany,
43,36.365559,-94.217670,Walmart,Bentonville,USA,
44,51.527448,-0.087146,Aave,London,UK,
45,19.341863,-81.379224,Binance,Georgetown,Cayman Islands,
46,30.277629,120.022866,Alibaba,Hangzhou,China,
47,46.466040,6.835267,Nestle,Vevey,Switzerland,
48,,,,,,
49,,,,,,
50,,,,,,